postcode.prefix	county
BH7	"Dorset"
BH8	"Dorset"
BH9	"Dorset"
BL0	"Greater Manchester"
BL0	"Lancashire"
BL1	"Greater Manchester"
BL11	"Greater Manchester"
BL2	"Greater Manchester"
BL3	"Greater Manchester"
BL4	"Greater Manchester"
BL5	"Greater Manchester"
BL6	"Greater Manchester"
BL6	"Lancashire"
BL7	"Greater Manchester"
BL7	"Lancashire"
BL78	"Greater Manchester"
BL8	"Greater Manchester"
BL8	"Lancashire"
BL9	"Greater Manchester"
BL9	"Lancashire"
BN1	"East Sussex"
BN1	"West Sussex"
BN10	"East Sussex"
BN11	"West Sussex"
BN12	"West Sussex"
BN13	"West Sussex"
BN14	"West Sussex"
BN15	"West Sussex"
BN16	"West Sussex"
BN17	"West Sussex"
BN18	"West Sussex"
BN2	"East Sussex"
BN20	"East Sussex"
BN21	"East Sussex"
BN21	"West Sussex"
BN22	"East Sussex"
BN23	"East Sussex"
BN24	"East Sussex"
BN25	"East Sussex"
BN26	"East Sussex"
BN27	"East Sussex"
BN3	"East Sussex"
BN4	"East Sussex"
BN4	"West Sussex"
BN41	"East Sussex"
BN41	"West Sussex"
BN42	"East Sussex"
BN42	"West Sussex"
BN43	"West Sussex"
BN44	"West Sussex"
BN45	"East Sussex"
BN45	"West Sussex"
BN5	"West Sussex"
BN50	"East Sussex"
BN51	"East Sussex"
BN52	"East Sussex"
BN6	"East Sussex"
BN6	"West Sussex"
BN7	"East Sussex"
BN8	"East Sussex"
BN8	"West Sussex"
BN88	"East Sussex"
BN9	"East Sussex"
BN99	"West Sussex"
BR1	"Greater London"
BR2	"Greater London"
BR3	"Greater London"
BR4	"Greater London"
BR5	"Greater London"
BR6	"Greater London"
BR6	"Kent"
BR7	"Greater London"
BR8	"Greater London"
BR8	"Kent"
BS0	"Somerset"
BS1	"Bristol"
BS1	"Somerset"
BS10	"Bristol"
BS10	"Gloucestershire"
BS11	"Bristol"
BS12	"Gloucestershire"
BS13	"Bristol"
BS13	"Somerset"
BS14	"Bristol"
BS14	"Somerset"
BS15	"Bristol"
BS15	"Gloucestershire"
BS16	"Bristol"
BS16	"Gloucestershire"
BS17	"Gloucestershire"
BS18	"Bristol"
BS18	"Gloucestershire"
BS18	"Somerset"
BS19	"Somerset"
BS2	"Bristol"
BS20	"Somerset"
BS21	"Somerset"
BS22	"Somerset"
BS23	"Somerset"
BS24	"Somerset"
BS25	"Somerset"
BS26	"Somerset"
BS27	"Somerset"
BS28	"Somerset"
BS29	"Somerset"
BS3	"Bristol"
BS3	"Somerset"
BS30	"Gloucestershire"
BS31	"Bristol"
BS31	"Gloucestershire"
BS31	"Somerset"
BS32	"Gloucestershire"
BS34	"Bristol"
BS34	"Gloucestershire"
BS35	"Gloucestershire"
BS36	"Gloucestershire"
BS37	"Gloucestershire"
BS39	"Somerset"
BS4	"Bristol"
BS40	"Bristol"
BS40	"Somerset"
BS41	"Bristol"
BS41	"Somerset"
BS48	"Somerset"
BS49	"Somerset"
BS5	"Bristol"
BS6	"Bristol"
BS7	"Bristol"
BS7	"Gloucestershire"
BS77	"Bristol"
BS8	"Bristol"
BS8	"Somerset"
BS80	"Gloucestershire"
BS80	"Somerset"
BS9	"Bristol"
BS98	"Bristol"
BS99	"Bristol"
CA1	"Cumbria"
CA10	"Cumbria"
CA11	"Cumbria"
CA12	"Cumbria"
CA13	"Cumbria"
CA14	"Cumbria"
CA15	"Cumbria"
CA16	"Cumbria"
CA17	"Cumbria"
CA18	"Cumbria"
CA19	"Cumbria"
CA2	"Cumbria"
CA20	"Cumbria"
CA21	"Cumbria"
CA22	"Cumbria"
CA23	"Cumbria"
CA24	"Cumbria"
CA25	"Cumbria"
CA26	"Cumbria"
CA27	"Cumbria"
CA28	"Cumbria"
CA3	"Cumbria"
CA4	"Cumbria"
CA5	"Cumbria"
CA6	"Cumbria"
CA6	"Northumberland"
CA7	"Cumbria"
CA8	"Cumbria"
CA8	"Northumberland"
CA9	"Cumbria"
CA9	"Northumberland"
CA95	"Cumbria"
CA99	"Cumbria"
CB1	"Cambridgeshire"
CB1	"Essex"
CB10	"Cambridgeshire"
CB10	"Essex"
CB11	"Essex"
CB2	"Cambridgeshire"
CB21	"Cambridgeshire"
CB21	"Essex"
CB22	"Cambridgeshire"
CB23	"Cambridgeshire"
CB24	"Cambridgeshire"
CB25	"Cambridgeshire"
CB3	"Cambridgeshire"
CB4	"Cambridgeshire"
CB5	"Cambridgeshire"
CB6	"Cambridgeshire"
CB6	"Essex"
CB6	"Norfolk"
CB7	"Cambridgeshire"
CB7	"Suffolk"
CB8	"Cambridgeshire"
CB8	"Suffolk"
CB9	"Essex"
CB9	"Suffolk"
CH1	"Cheshire"
CH2	"Cheshire"
CH25	"Merseyside"
CH26	"Merseyside"
CH27	"Merseyside"
CH28	"Merseyside"
CH29	"Merseyside"
CH3	"Cheshire"
CH30	"Merseyside"
CH31	"Merseyside"
CH32	"Merseyside"
CH33	"Cheshire"
CH34	"Cheshire"
CH4	"Cheshire"
CH41	"Merseyside"
CH42	"Merseyside"
CH43	"Merseyside"
CH44	"Merseyside"
CH45	"Merseyside"
CH46	"Merseyside"
CH47	"Merseyside"
CH48	"Merseyside"
CH49	"Merseyside"
CH60	"Merseyside"
CH61	"Merseyside"
CH62	"Cheshire"
CH62	"Merseyside"
CH63	"Cheshire"
CH63	"Merseyside"
CH64	"Cheshire"
CH64	"Merseyside"
CH65	"Cheshire"
CH65	"Merseyside"
CH66	"Cheshire"
CH70	"Cheshire"
CH88	"Cheshire"
CH99	"Cheshire"
CM0	"Essex"
CM1	"Essex"
CM11	"Essex"
CM12	"Essex"
CM13	"Essex"
CM13	"Greater London"
CM14	"Essex"
CM14	"Greater London"
CM15	"Essex"
CM16	"Essex"
CM17	"Essex"
CM18	"Essex"
CM19	"Essex"
CM19	"Hertfordshire"
CM2	"Essex"
CM20	"Essex"
CM20	"Hertfordshire"
CM21	"Essex"
CM21	"Hertfordshire"
CM22	"Essex"
CM22	"Hertfordshire"
CM23	"Essex"
CM23	"Greater London"
CM23	"Hertfordshire"
CM24	"Essex"
CM3	"Essex"
CM4	"Essex"
CM5	"Essex"
CM6	"Essex"
CM7	"Essex"
CM77	"Essex"
CM8	"Essex"
CM9	"Essex"
CM92	"Essex"
CM98	"Essex"
CM99	"Essex"
CO1	"Essex"
CO10	"Essex"
CO10	"Suffolk"
CO11	"Essex"
CO11	"Suffolk"
CO12	"Essex"
CO13	"Essex"
CO14	"Essex"
CO15	"Essex"
CO16	"Essex"
CO2	"Essex"
CO3	"Essex"
CO3	"Suffolk"
CO4	"Essex"
CO5	"Essex"
CO6	"Essex"
CO6	"Suffolk"
CO7	"Essex"
CO7	"Suffolk"
CO8	"Essex"
CO8	"Suffolk"
CO9	"Essex"
CO9	"Suffolk"
CR0	"Greater London"
CR2	"Greater London"
CR2	"Surrey"
CR3	"Greater London"
CR3	"Surrey"
CR4	"Greater London"
CR44	"Greater London"
CR5	"Greater London"
CR5	"Surrey"
CR6	"Greater London"
CR6	"Surrey"
CR7	"Greater London"
CR8	"Greater London"
CR8	"Surrey"
CR9	"Greater London"
CR90	"Greater London"
CT1	"Kent"
CT10	"Kent"
CT11	"Kent"
CT12	"Kent"
CT13	"Kent"
CT14	"Kent"
CT15	"Kent"
CT16	"Kent"
CT17	"Kent"
CT18	"Kent"
CT19	"Kent"
CT2	"Kent"
CT20	"Kent"
CT21	"Kent"
CT3	"Kent"
CT4	"Kent"
CT5	"Kent"
CT50	"Kent"
CT6	"Kent"
CT7	"Kent"
CT8	"Kent"
CT9	"Kent"
CV1	"West Midlands"
CV10	"Leicestershire"
CV10	"Warwickshire"
CV11	"Leicestershire"
CV11	"Warwickshire"
CV12	"Warwickshire"
CV12	"West Midlands"
CV13	"Leicestershire"
CV13	"Warwickshire"
CV2	"Warwickshire"
CV2	"West Midlands"
CV21	"Warwickshire"
CV22	"Warwickshire"
CV23	"Northamptonshire"
CV23	"Warwickshire"
CV3	"Warwickshire"
CV3	"West Midlands"
CV31	"Warwickshire"
CV32	"Warwickshire"
CV33	"Warwickshire"
CV34	"Warwickshire"
CV35	"Warwickshire"
CV36	"Warwickshire"
CV37	"Warwickshire"
CV37	"Worcestershire"
CV4	"Warwickshire"
CV4	"West Midlands"
CV47	"Warwickshire"
CV5	"West Midlands"
CV6	"Warwickshire"
CV6	"West Midlands"
CV7	"Warwickshire"
CV7	"West Midlands"
CV8	"Warwickshire"
CV8	"West Midlands"
CV9	"Leicestershire"
CV9	"Warwickshire"
CW1	"Cheshire"
CW10	"Cheshire"
CW11	"Cheshire"
CW12	"Cheshire"
CW12	"Staffordshire"
CW2	"Cheshire"
CW2	"Staffordshire"
CW3	"Cheshire"
CW3	"Shropshire"
CW3	"Staffordshire"
CW4	"Cheshire"
CW5	"Cheshire"
CW6	"Cheshire"
CW7	"Cheshire"
CW8	"Cheshire"
CW9	"Cheshire"
CW98	"Cheshire"
DA1	"Greater London"
DA1	"Kent"
DA10	"Kent"
DA11	"Kent"
DA12	"Kent"
DA13	"Kent"
DA14	"Greater London"
DA14	"Kent"
DA15	"Greater London"
DA16	"Greater London"
DA17	"Greater London"
DA17	"Kent"
DA18	"Greater London"
DA2	"Kent"
DA3	"Kent"
DA4	"Kent"
DA5	"Greater London"
DA5	"Kent"
DA6	"Greater London"
DA7	"Greater London"
DA8	"Greater London"
DA9	"Kent"
DE1	"Derbyshire"
DE1	"Staffordshire"
DE11	"Derbyshire"
DE11	"Leicestershire"
DE12	"Derbyshire"
DE12	"Leicestershire"
DE13	"Derbyshire"
DE13	"Staffordshire"
DE14	"Derbyshire"
DE14	"Staffordshire"
DE15	"Derbyshire"
DE15	"Staffordshire"
DE2	"Derbyshire"
DE21	"Derbyshire"
DE22	"Derbyshire"
DE23	"Derbyshire"
DE24	"Derbyshire"
DE3	"Derbyshire"
DE4	"Derbyshire"
DE45	"Derbyshire"
DE5	"Derbyshire"
DE55	"Derbyshire"
DE55	"Nottinghamshire"
DE56	"Derbyshire"
DE6	"Derbyshire"
DE6	"Staffordshire"
DE65	"Derbyshire"
DE7	"Derbyshire"
DE7	"Leicestershire"
DE7	"Nottinghamshire"
DE72	"Derbyshire"
DE72	"Leicestershire"
DE73	"Derbyshire"
DE73	"Leicestershire"
DE74	"Derbyshire"
DE74	"Leicestershire"
DE74	"Nottinghamshire"
DE75	"Derbyshire"
DE99	"Derbyshire"
DG16	"Cumbria"
DH1	"County Durham"
DH2	"County Durham"
DH2	"Tyne and Wear"
DH3	"County Durham"
DH3	"Tyne and Wear"
DH4	"County Durham"
DH4	"Tyne and Wear"
DH5	"County Durham"
DH5	"Tyne and Wear"
DH6	"County Durham"
DH7	"County Durham"
DH8	"County Durham"
DH8	"Northumberland"
DH9	"County Durham"
DH9	"Tyne and Wear"
DH97	"County Durham"
DH98	"County Durham"
DH98	"Tyne and Wear"
DH99	"County Durham"
DL1	"County Durham"
DL10	"County Durham"
DL10	"North Yorkshire"
DL11	"County Durham"
DL11	"North Yorkshire"
DL12	"County Durham"
DL12	"Cumbria"
DL12	"North Yorkshire"
DL13	"County Durham"
DL14	"County Durham"
DL15	"County Durham"
DL16	"County Durham"
DL17	"County Durham"
DL2	"County Durham"
DL2	"North Yorkshire"
DL3	"County Durham"
DL4	"County Durham"
DL5	"County Durham"
DL6	"North Yorkshire"
DL7	"North Yorkshire"
DL8	"County Durham"
DL8	"North Yorkshire"
DL9	"North Yorkshire"
DL98	"County Durham"
DN1	"Lincolnshire"
DN1	"South Yorkshire"
DN10	"Lincolnshire"
DN10	"Nottinghamshire"
DN10	"South Yorkshire"
DN11	"Nottinghamshire"
DN11	"South Yorkshire"
DN12	"South Yorkshire"
DN14	"East Riding of Yorkshire"
DN14	"Lincolnshire"
DN14	"North Yorkshire"
DN14	"South Yorkshire"
DN15	"Lincolnshire"
DN16	"Lincolnshire"
DN17	"Lincolnshire"
DN17	"North Yorkshire"
DN18	"Lincolnshire"
DN19	"Lincolnshire"
DN2	"South Yorkshire"
DN20	"Lincolnshire"
DN21	"Lincolnshire"
DN21	"Nottinghamshire"
DN22	"Nottinghamshire"
DN3	"South Yorkshire"
DN31	"Lincolnshire"
DN32	"Lincolnshire"
DN33	"Lincolnshire"
DN34	"Lincolnshire"
DN35	"Lincolnshire"
DN36	"Lincolnshire"
DN37	"Lincolnshire"
DN38	"Lincolnshire"
DN39	"Lincolnshire"
DN4	"South Yorkshire"
DN40	"Lincolnshire"
DN41	"Lincolnshire"
DN5	"South Yorkshire"
DN55	"South Yorkshire"
DN6	"North Yorkshire"
DN6	"South Yorkshire"
DN7	"South Yorkshire"
DN8	"East Riding of Yorkshire"
DN8	"Lincolnshire"
DN8	"South Yorkshire"
DN9	"Lincolnshire"
DN9	"Nottinghamshire"
DN9	"South Yorkshire"
DT1	"Dorset"
DT10	"Dorset"
DT10	"Somerset"
DT11	"Dorset"
DT2	"Dorset"
DT3	"Dorset"
DT4	"Dorset"
DT5	"Dorset"
DT6	"Dorset"
DT7	"Devon"
DT7	"Dorset"
DT8	"Dorset"
DT8	"Somerset"
DT9	"Dorset"
DT9	"Somerset"
DY1	"West Midlands"
DY10	"Staffordshire"
DY10	"West Midlands"
DY10	"Worcestershire"
DY11	"Staffordshire"
DY11	"Worcestershire"
DY12	"Shropshire"
DY12	"Worcestershire"
DY13	"Worcestershire"
DY14	"Shropshire"
DY14	"Worcestershire"
DY2	"West Midlands"
DY3	"Staffordshire"
DY3	"West Midlands"
DY4	"West Midlands"
DY5	"West Midlands"
DY6	"Staffordshire"
DY6	"West Midlands"
DY7	"Shropshire"
DY7	"Staffordshire"
DY7	"West Midlands"
DY7	"Worcestershire"
DY8	"Staffordshire"
DY8	"West Midlands"
DY8	"Worcestershire"
DY9	"West Midlands"
DY9	"Worcestershire"
E1	"City of London"
E1	"Greater London"
E10	"Greater London"
E11	"Greater London"
E12	"Greater London"
E13	"Greater London"
E14	"Greater London"
E15	"Greater London"
E16	"Greater London"
E17	"Greater London"
E18	"Greater London"
E1W	"Greater London"
E2	"Greater London"
E20	"Greater London"
E3	"Greater London"
E4	"Essex"
E4	"Greater London"
E5	"Greater London"
E6	"Greater London"
E7	"Greater London"
E77	"Greater London"
E8	"Greater London"
E9	"Greater London"
E98	"Greater London"
EC1A	"City of London"
EC1A	"Greater London"
EC1M	"City of London"
EC1M	"Greater London"
EC1N	"City of London"
EC1N	"Greater London"
EC1P	"Greater London"
EC1R	"City of London"
EC1R	"Greater London"
EC1V	"Greater London"
EC1Y	"City of London"
EC1Y	"Greater London"
EC2A	"City of London"
EC2A	"Greater London"
EC2M	"City of London"
EC2M	"Greater London"
EC2N	"City of London"
EC2N	"Greater London"
EC2P	"City of London"
EC2P	"Greater London"
EC2R	"City of London"
EC2R	"Greater London"
EC2V	"City of London"
EC2V	"Greater London"
EC2Y	"City of London"
EC2Y	"Greater London"
EC3A	"City of London"
EC3A	"Greater London"
EC3B	"City of London"
EC3M	"City of London"
EC3M	"Greater London"
EC3N	"City of London"
EC3N	"Greater London"
EC3P	"City of London"
EC3P	"Greater London"
EC3R	"City of London"
EC3R	"Greater London"
EC3V	"City of London"
EC3V	"Greater London"
EC4A	"City of London"
EC4A	"Greater London"
EC4M	"City of London"
EC4M	"Greater London"
EC4N	"City of London"
EC4N	"Greater London"
EC4P	"City of London"
EC4P	"Greater London"
EC4R	"City of London"
EC4R	"Greater London"
EC4V	"City of London"
EC4V	"Greater London"
EC4Y	"City of London"
EC4Y	"Greater London"
EC50	"Greater London"
EC88	"Greater London"
EN1	"Greater London"
EN10	"Essex"
EN10	"Hertfordshire"
EN11	"Essex"
EN11	"Hertfordshire"
EN2	"Greater London"
EN2	"Hertfordshire"
EN3	"Greater London"
EN4	"Greater London"
EN4	"Hertfordshire"
EN5	"Greater London"
EN5	"Hertfordshire"
EN6	"Greater London"
EN6	"Hertfordshire"
EN7	"Greater London"
EN7	"Hertfordshire"
EN8	"Essex"
EN8	"Greater London"
EN8	"Hertfordshire"
EN9	"Essex"
EN9	"Greater London"
EN9	"Hertfordshire"
EX1	"Devon"
EX10	"Devon"
EX11	"Devon"
EX12	"Devon"
EX13	"Devon"
EX13	"Dorset"
EX13	"Somerset"
EX14	"Devon"
EX14	"Somerset"
EX15	"Devon"
EX16	"Devon"
EX16	"Somerset"
EX17	"Devon"
EX18	"Devon"
EX19	"Devon"
EX2	"Devon"
EX20	"Devon"
EX21	"Devon"
EX22	"Cornwall"
EX22	"Devon"
EX23	"Cornwall"
EX23	"Devon"
EX24	"Devon"
EX3	"Devon"
EX31	"Devon"
EX32	"Devon"
EX33	"Devon"
EX34	"Devon"
EX35	"Devon"
EX35	"Somerset"
EX36	"Devon"
EX36	"Somerset"
EX37	"Devon"
EX38	"Devon"
EX39	"Devon"
EX4	"Devon"
EX5	"Devon"
EX6	"Devon"
EX7	"Devon"
EX8	"Devon"
EX9	"Devon"
FY0	"Lancashire"
FY1	"Lancashire"
FY2	"Lancashire"
FY3	"Lancashire"
FY4	"Lancashire"
FY5	"Lancashire"
FY6	"Lancashire"
FY7	"Lancashire"
FY8	"Lancashire"
GL1	"Gloucestershire"
GL10	"Gloucestershire"
GL11	"Gloucestershire"
GL11	"Shropshire"
GL12	"Gloucestershire"
GL13	"Gloucestershire"
GL14	"Gloucestershire"
GL15	"Gloucestershire"
GL16	"Gloucestershire"
GL17	"Gloucestershire"
GL17	"Herefordshire"
GL18	"Gloucestershire"
GL18	"Herefordshire"
GL19	"Gloucestershire"
GL19	"Worcestershire"
GL2	"Gloucestershire"
GL2	"Worcestershire"
GL20	"Gloucestershire"
GL20	"Worcestershire"
GL3	"Gloucestershire"
GL4	"Gloucestershire"
GL5	"Gloucestershire"
GL50	"Gloucestershire"
GL51	"Gloucestershire"
GL52	"Gloucestershire"
GL53	"Gloucestershire"
GL54	"Gloucestershire"
GL55	"Gloucestershire"
GL55	"Warwickshire"
GL56	"Gloucestershire"
GL56	"Oxfordshire"
GL56	"Warwickshire"
GL6	"Gloucestershire"
GL7	"Gloucestershire"
GL7	"Oxfordshire"
GL7	"Wiltshire"
GL8	"Gloucestershire"
GL8	"Wiltshire"
GL9	"Gloucestershire"
GL9	"Wiltshire"
GU1	"Surrey"
GU10	"Hampshire"
GU10	"Surrey"
GU11	"Hampshire"
GU11	"Surrey"
GU12	"Hampshire"
GU12	"Surrey"
GU13	"Hampshire"
GU14	"Hampshire"
GU14	"Surrey"
GU15	"Berkshire"
GU15	"Surrey"
GU16	"Hampshire"
GU16	"Surrey"
GU17	"Berkshire"
GU17	"Hampshire"
GU17	"Surrey"
GU18	"Surrey"
GU19	"Berkshire"
GU19	"Surrey"
GU2	"Surrey"
GU20	"Surrey"
GU21	"Surrey"
GU22	"Surrey"
GU23	"Surrey"
GU24	"Surrey"
GU25	"Surrey"
GU26	"Hampshire"
GU26	"Surrey"
GU27	"Hampshire"
GU27	"Surrey"
GU27	"West Sussex"
GU28	"West Sussex"
GU29	"West Sussex"
GU3	"Surrey"
GU30	"Hampshire"
GU30	"West Sussex"
GU31	"Hampshire"
GU31	"West Sussex"
GU32	"Hampshire"
GU33	"Hampshire"
GU33	"West Sussex"
GU34	"Hampshire"
GU35	"Hampshire"
GU4	"Surrey"
GU46	"Berkshire"
GU46	"Hampshire"
GU46	"Surrey"
GU47	"Berkshire"
GU47	"Surrey"
GU5	"Surrey"
GU51	"Hampshire"
GU52	"Hampshire"
GU6	"Surrey"
GU7	"Surrey"
GU8	"Surrey"
GU8	"West Sussex"
GU9	"Surrey"
GU95	"Surrey"
HA0	"Greater London"
HA1	"Greater London"
HA2	"Greater London"
HA3	"Greater London"
HA4	"Greater London"
HA5	"Greater London"
HA5	"Hertfordshire"
HA6	"Greater London"
HA6	"Hertfordshire"
HA7	"Greater London"
HA7	"Hertfordshire"
HA8	"Greater London"
HA9	"Greater London"
HD1	"West Yorkshire"
HD2	"West Yorkshire"
HD3	"West Yorkshire"
HD4	"West Yorkshire"
HD5	"West Yorkshire"
HD6	"West Yorkshire"
HD7	"South Yorkshire"
HD7	"West Yorkshire"
HD8	"South Yorkshire"
HD8	"West Yorkshire"
HD9	"South Yorkshire"
HD9	"West Yorkshire"
HG1	"North Yorkshire"
HG2	"North Yorkshire"
HG3	"North Yorkshire"
HG4	"North Yorkshire"
HG5	"North Yorkshire"
HP1	"Hertfordshire"
HP10	"Buckinghamshire"
HP11	"Buckinghamshire"
HP12	"Buckinghamshire"
HP13	"Buckinghamshire"
HP14	"Buckinghamshire"
HP14	"Oxfordshire"
HP15	"Buckinghamshire"
HP16	"Buckinghamshire"
HP17	"Buckinghamshire"
HP18	"Buckinghamshire"
HP18	"Oxfordshire"
HP19	"Buckinghamshire"
HP2	"Hertfordshire"
HP20	"Buckinghamshire"
HP21	"Buckinghamshire"
HP22	"Buckinghamshire"
HP23	"Bedfordshire"
HP23	"Buckinghamshire"
HP23	"Hertfordshire"
HP27	"Buckinghamshire"
HP3	"Hertfordshire"
HP4	"Bedfordshire"
HP4	"Buckinghamshire"
HP4	"Hertfordshire"
HP5	"Buckinghamshire"
HP5	"Hertfordshire"
HP6	"Buckinghamshire"
HP7	"Buckinghamshire"
HP8	"Buckinghamshire"
HP8	"Hertfordshire"
HP9	"Buckinghamshire"
HR1	"Herefordshire"
HR2	"Herefordshire"
HR3	"Herefordshire"
HR4	"Herefordshire"
HR5	"Herefordshire"
HR6	"Herefordshire"
HR7	"Herefordshire"
HR7	"Worcestershire"
HR8	"Gloucestershire"
HR8	"Herefordshire"
HR8	"Worcestershire"
HR9	"Gloucestershire"
HR9	"Herefordshire"
HU1	"East Riding of Yorkshire"
HU10	"East Riding of Yorkshire"
HU11	"East Riding of Yorkshire"
HU12	"East Riding of Yorkshire"
HU13	"East Riding of Yorkshire"
HU14	"East Riding of Yorkshire"
HU15	"East Riding of Yorkshire"
HU16	"East Riding of Yorkshire"
HU17	"East Riding of Yorkshire"
HU18	"East Riding of Yorkshire"
HU19	"East Riding of Yorkshire"
HU2	"East Riding of Yorkshire"
HU20	"East Riding of Yorkshire"
HU3	"East Riding of Yorkshire"
HU4	"East Riding of Yorkshire"
HU5	"East Riding of Yorkshire"
HU6	"East Riding of Yorkshire"
HU7	"East Riding of Yorkshire"
HU8	"East Riding of Yorkshire"
HU9	"East Riding of Yorkshire"
HX1	"West Yorkshire"
HX2	"West Yorkshire"
HX3	"West Yorkshire"
HX4	"West Yorkshire"
HX5	"West Yorkshire"
